Radiación global media diaria (decenas de kilojulios por metro cuadrado);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2009;1203;1558;1552;2211;2616;2843;2824;2638;2053;1799;1357;;
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2010;;1391;1958;2156;2501;2635;2750;2568;2140;1644;1251;1111;
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2011;1230;1738;1823;2143;2158;2735;2681;2716;2185;1652;1279;1086;1952
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2012;1307;1418;2170;2102;2683;2722;2814;2584;2324;1667;1074;1252;2010
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2013;1380;1444;1973;2352;2460;2945;2921;2483;2231;1851;1279;1054;2031
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2014;1294;1626;2060;2323;2507;2831;2741;2709;2076;1648;1259;1083;2013
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2015;1124;1290;1975;2329;;;;;;;;;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2003;;1818;2273;;2717;2751;2729;2578;2295;1663;1392;1177;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2004;1267;1670;2110;2229;2549;2632;2730;2495;2103;1732;1352;;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2005;1338;;;;;;;;;;;;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2006;;;;;;;;2528;2030;1806;1310;1325;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2007;1295;1815;2079;2600;2650;2660;2664;2620;2182;1828;1496;1303;2099
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2008;1373;1664;2041;2356;2647;2760;2772;2497;1952;1777;1371;1148;2030
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2009;1354;1656;1908;2518;2644;2667;2692;2575;1950;1855;1509;1228;2046
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2010;1428;1597;1982;2215;2581;2605;2659;2474;2137;1745;1390;1208;2002
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2011;1450;1891;2203;2471;2496;2716;2719;2563;2275;1763;1452;1333;2111
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;45;LAS PALMAS;1534322;274529;2012;1357;1786;2161;2244;2524;2598;2693;2451;2206;1723;1362;1375;2040
